
  Data: Imaginary indices of refraction for water and ice in
  the 0.67 to 2.5 micron range. 

  Reference: L. Kou, D. Labrie, and P. Chylek, Refractive indices of 
  water and ice in the 0.65 to 2.5 micron range, Applied Optics,
  vol. 32, pgs. 3531-3540, 1993.

  Format: wavenumber (cm-1), wavelength (microns), imaginary index
  of refraction, error (percent)
  147 values from  4000 to  6920 cm-1 (2x,f6.0,1x,f6.4,3(4x,e10.3,1x,f4.1))
  at 22 and -8 C for water, and at -25 C for ice.
  186 values from  6940 to 10640 cm-1 (2x,f6.0,1x,f6.4,2(4x,e10.3,1x,f4.1))
  at 22 and -8 C for water.
  218 values from 10660 to 15000 cm-1 (2x,f6.0,1x,f6.4,1(4x,e10.3,1x,f4.1))
  at 22 C for water.


 		    Water              Water              ICE 
		    22 C               -8 C               -25 C
   cm-1  microns    imaginary  error   imaginary  error   imaginary  error   

   9320. 1.0730     1.200E-06  2.3     1.280E-06  6.6
   9340. 1.0707     1.200E-06  2.2     1.260E-06  5.8
   9360. 1.0684     1.200E-06  2.2     1.290E-06  7.0
   9380. 1.0661     1.210E-06  2.2     1.300E-06  6.8
   9400. 1.0638     1.220E-06  2.2     1.300E-06  5.2
   9420. 1.0616     1.230E-06  2.2     1.350E-06  5.8
   9440. 1.0593     1.260E-06  2.2     1.350E-06  6.2
   9460. 1.0571     1.280E-06  2.2     1.370E-06  6.5
   9480. 1.0549     1.310E-06  2.1     1.440E-06  5.5
   9500. 1.0526     1.350E-06  2.1     1.470E-06  5.3
   9520. 1.0504     1.390E-06  2.1     1.530E-06  5.9
   9540. 1.0482     1.430E-06  2.1     1.570E-06  5.2
   9560. 1.0460     1.490E-06  2.1     1.630E-06  4.8
   9580. 1.0438     1.550E-06  2.1     1.710E-06  5.8
   9600. 1.0417     1.610E-06  2.1     1.750E-06  5.4
   9620. 1.0395     1.670E-06  2.1     1.830E-06  5.4
   9640. 1.0373     1.740E-06  2.1     1.900E-06  4.3
   9660. 1.0352     1.810E-06  2.1     1.970E-06  5.0
   9680. 1.0331     1.890E-06  2.1     2.040E-06  4.8
   9700. 1.0309     1.960E-06  2.1     2.130E-06  3.7
   9720. 1.0288     2.050E-06  2.1     2.210E-06  3.8
   9740. 1.0267     2.140E-06  2.1     2.290E-06  4.5
   9760. 1.0246     2.220E-06  2.1     2.360E-06  3.2
   9780. 1.0225     2.310E-06  2.1     2.480E-06  3.2
   9800. 1.0204     2.400E-06  2.2     2.530E-06  4.5
   9820. 1.0183     2.500E-06  2.2     2.610E-06  3.7
   9840. 1.0163     2.580E-06  1.2     2.700E-06  4.1
   9860. 1.0142     2.660E-06   .6     2.750E-06  3.9
