This is Bob Kurucz's extraterrestrial solar spectrum, based on
a line-by-line calculation, a theoretical model of the Sun, and
relevant datasets.  It has been averaged to 20 cm-1 resolution.
The wavenumber column value refers to an average over plus and
minus 10 cm-1 around that value. The columns are tab-delimited.
97/04/24: CSZ added first line of flux = 49980 cm-1 = 0 Wm-2/cm-1
Wavenumber(cm-1)	SolarSpectrum(Wm-2/cm-1)
18420.0	0.54050E-01
18440.0	0.56300E-01
18460.0	0.55000E-01
18480.0	0.53950E-01
18500.0	0.50900E-01
18520.0	0.53150E-01
18540.0	0.55050E-01
18560.0	0.56700E-01
18580.0	0.55650E-01
18600.0	0.57700E-01
18620.0	0.52150E-01
18640.0	0.54950E-01
18660.0	0.58150E-01
18680.0	0.55900E-01
18700.0	0.53550E-01
18720.0	0.50500E-01
18740.0	0.53050E-01
18760.0	0.47910E-01
18780.0	0.53250E-01
18800.0	0.54550E-01
18820.0	0.57500E-01
18840.0	0.57150E-01
18860.0	0.52200E-01
18880.0	0.53850E-01
18900.0	0.56650E-01
18920.0	0.52600E-01
18940.0	0.54400E-01
18960.0	0.49150E-01
18980.0	0.43310E-01
19000.0	0.47755E-01
19020.0	0.52600E-01
19040.0	0.53950E-01
19060.0	0.52700E-01
19080.0	0.55200E-01
19100.0	0.50650E-01
19120.0	0.47785E-01
19140.0	0.53700E-01
19160.0	0.50600E-01
19180.0	0.54150E-01
19200.0	0.46910E-01
19220.0	0.52800E-01
19240.0	0.48400E-01
19260.0	0.47655E-01
19280.0	0.38735E-01
19300.0	0.50900E-01
19320.0	0.41025E-01
19340.0	0.39165E-01
19360.0	0.48660E-01
19380.0	0.52950E-01
19400.0	0.49330E-01
19420.0	0.49265E-01
19440.0	0.49080E-01
19460.0	0.49080E-01
19480.0	0.50800E-01
19500.0	0.48120E-01
19520.0	0.51400E-01
19540.0	0.54400E-01
19560.0	0.51850E-01
19580.0	0.50550E-01
19600.0	0.48530E-01
19620.0	0.53450E-01
19640.0	0.52900E-01
19660.0	0.49120E-01
19680.0	0.47840E-01
19700.0	0.50000E-01
19720.0	0.50900E-01
19740.0	0.51650E-01
19760.0	0.53600E-01
19780.0	0.52300E-01
19800.0	0.49045E-01
